case,hh_size,n_adult,n_child,age,sex_code,emp_code,eth_code,mar_code,region_code,tenure_code,lone_parent,educ_code,disp_income_week,eq_scale
1541,2.0,2.0,0.0,49.0,2.0,3.0,10.0,4.0,7.0,2.0,2.0,7.0,267.83,1.5
1542,1.0,1.0,0.0,38.0,2.0,2.0,1.0,4.0,10.0,5.0,2.0,1.0,521.05,1.0
1543,4.0,3.0,1.0,47.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1343.54,2.3
1544,3.0,1.0,2.0,35.0,2.0,7.0,1.0,4.0,3.0,3.0,1.0,5.0,306.64,1.6
1545,2.0,2.0,0.0,80.0,2.0,6.0,1.0,4.0,7.0,1.0,2.0,,394.234,1.5
1546,2.0,1.0,1.0,36.0,2.0,2.0,1.0,4.0,11.0,5.0,1.0,1.0,631.84,1.3
1547,1.0,1.0,0.0,29.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,7.0,274.323,1.0
1548,1.0,1.0,0.0,53.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,,32.5,1.0
1549,2.0,2.0,0.0,73.0,1.0,6.0,1.0,1.0,7.0,7.0,2.0,,1061.522,1.5
1550,3.0,2.0,1.0,33.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,764.65,1.8
1551,2.0,2.0,0.0,57.0,1.0,1.0,1.0,1.0,8.0,5.0,2.0,1.0,312.55,1.5
1552,3.0,2.0,1.0,36.0,1.0,2.0,1.0,1.0,7.0,5.0,2.0,1.0,1630.56,1.8
1553,1.0,1.0,0.0,51.0,1.0,1.0,3.0,7.0,9.0,8.0,2.0,3.0,98.48,1.0
1554,4.0,2.0,2.0,40.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,1268.2694,2.1
1555,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,8.0,7.0,2.0,,256.692,1.0
1556,2.0,2.0,0.0,78.0,1.0,6.0,1.0,1.0,8.0,7.0,2.0,,903.374,1.5
1557,3.0,3.0,0.0,50.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,818.99,2.0
1558,3.0,3.0,0.0,50.0,2.0,3.0,1.0,3.0,3.0,7.0,2.0,5.0,1111.62,2.0
1559,2.0,2.0,0.0,71.0,1.0,6.0,1.0,1.0,8.0,7.0,2.0,,402.84,1.5
1560,2.0,2.0,0.0,77.0,1.0,6.0,1.0,1.0,6.0,7.0,2.0,,416.084,1.5
1561,3.0,2.0,1.0,24.0,2.0,7.0,1.0,3.0,3.0,1.0,2.0,5.0,192.3,1.8
1562,3.0,1.0,2.0,28.0,2.0,4.0,1.0,4.0,6.0,3.0,1.0,1.0,308.68,1.6
1563,2.0,2.0,0.0,65.0,2.0,6.0,1.0,1.0,2.0,7.0,2.0,,420.474,1.5
1564,1.0,1.0,0.0,66.0,1.0,6.0,1.0,6.0,6.0,7.0,2.0,1.0,501.512,1.0
1565,3.0,3.0,0.0,67.0,1.0,6.0,1.0,1.0,8.0,7.0,2.0,7.0,873.32,2.0
1566,2.0,1.0,1.0,42.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,487.34,1.3
1567,3.0,3.0,0.0,55.0,2.0,1.0,1.0,1.0,10.0,7.0,2.0,5.0,957.69,2.0
1568,3.0,1.0,2.0,37.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,5.0,324.97,1.6
1569,3.0,3.0,0.0,56.0,1.0,3.0,1.0,1.0,7.0,5.0,2.0,1.0,715.69,2.0
1570,2.0,2.0,0.0,57.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,7.0,400.11,1.5
1571,1.0,1.0,0.0,73.0,2.0,6.0,1.0,5.0,12.0,7.0,2.0,,262.03,1.0
1572,3.0,3.0,0.0,47.0,1.0,2.0,1.0,1.0,11.0,7.0,2.0,4.0,1630.56,2.0
1573,2.0,2.0,0.0,61.0,2.0,7.0,1.0,6.0,10.0,7.0,2.0,1.0,374.44,1.5
1574,1.0,1.0,0.0,67.0,1.0,6.0,1.0,5.0,8.0,7.0,2.0,5.0,506.472,1.0
1575,2.0,2.0,0.0,65.0,1.0,1.0,1.0,6.0,6.0,7.0,2.0,,457.492,1.5
1576,1.0,1.0,0.0,40.0,1.0,2.0,1.0,4.0,9.0,5.0,2.0,5.0,306.62,1.0
1577,1.0,1.0,0.0,52.0,1.0,7.0,1.0,6.0,11.0,5.0,2.0,,650.26,1.0
1578,5.0,4.0,1.0,57.0,1.0,2.0,1.0,1.0,4.0,5.0,2.0,7.0,766.38,2.8
1579,1.0,1.0,0.0,75.0,2.0,6.0,1.0,4.0,8.0,7.0,2.0,,228.982,1.0
1580,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,1.0,7.0,2.0,,192.722,1.0
1581,3.0,3.0,0.0,61.0,1.0,7.0,1.0,1.0,3.0,7.0,2.0,4.0,654.92,2.0
1582,2.0,2.0,0.0,58.0,1.0,4.0,3.0,1.0,4.0,4.0,2.0,7.0,386.98,1.5
1583,5.0,2.0,3.0,34.0,2.0,2.0,1.0,1.0,12.0,5.0,2.0,3.0,701.71,2.4
1584,2.0,2.0,0.0,67.0,1.0,6.0,1.0,1.0,2.0,7.0,2.0,1.0,413.144,1.5
1585,2.0,2.0,0.0,53.0,1.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,1139.2136,1.5
1586,1.0,1.0,0.0,76.0,1.0,6.0,1.0,4.0,7.0,7.0,2.0,,460.32,1.0
1587,3.0,3.0,0.0,50.0,2.0,2.0,1.0,7.0,6.0,2.0,1.0,5.0,896.26,2.0
1588,2.0,1.0,1.0,33.0,1.0,2.0,1.0,7.0,11.0,3.0,1.0,5.0,461.57,1.3
